Layers,Units,Epochs,Batch Size,Activation,Optimizer,Loss,Predictions,MAPE
5,32,50,16,tanh,adam,huber_loss,"[109.31583, 109.081184, 109.06595, 109.13501, 109.13017, 109.1304, 109.13178, 109.13169]",0.2693704168781103
5,32,50,16,tanh,rmsprop,mse,"[113.96628, 113.85306, 113.86618, 113.949524, 113.948494, 113.94899, 113.949844, 113.94984]",0.23725319261882807
5,32,50,16,tanh,rmsprop,huber_loss,"[113.63875, 113.62317, 113.62494, 113.63597, 113.635956, 113.635956, 113.63597, 113.63597]",0.23925035261504396
5,32,50,32,relu,adam,mse,"[118.44942, 118.182335, 118.25304, 118.56898, 118.56362, 118.56852, 118.57649, 118.57642]",0.2142165344503547
5,32,50,32,relu,adam,huber_loss,"[85.675316, 85.58117, 85.5105, 85.37515, 85.374245, 85.373405, 85.372505, 85.3725]",0.4280402686849555
5,32,50,32,relu,rmsprop,mse,"[106.902306, 106.89645, 106.89565, 106.896164, 106.896164, 106.89616, 106.896164, 106.896164]",0.28435336334100464
5,32,50,32,relu,rmsprop,huber_loss,"[98.36097, 98.35639, 98.35446, 98.35141, 98.3514, 98.3514, 98.3514, 98.3514]",0.3415507835884416
5,32,50,32,tanh,adam,mse,"[108.87107, 108.57869, 108.55435, 108.62825, 108.62068, 108.620766, 108.62259, 108.6224]",0.27273977045889386
5,32,50,32,tanh,adam,huber_loss,"[109.06457, 108.78289, 108.76171, 108.83789, 108.8309, 108.831085, 108.83291, 108.83274]",0.27134794957866193
5,32,50,32,tanh,rmsprop,mse,"[113.909454, 113.81336, 113.8247, 113.89496, 113.89421, 113.89457, 113.89519, 113.89518]",0.23760004491255385
5,32,50,32,tanh,rmsprop,huber_loss,"[113.65449, 113.63212, 113.634544, 113.650406, 113.65037, 113.65038, 113.65042, 113.65042]",0.2391601912815478
5,50,30,16,relu,adam,mse,"[82.44529, 82.40189, 82.36468, 82.289505, 82.28929, 82.28907, 82.288826, 82.288826]",0.44887822474570727
5,50,30,16,relu,adam,huber_loss,"[77.702415, 77.67905, 77.654854, 77.60529, 77.605225, 77.60514, 77.60505, 77.60505]",0.48031334489796684
5,50,30,16,relu,rmsprop,mse,"[84.48852, 84.48077, 84.47436, 84.46183, 84.46183, 84.46182, 84.46181, 84.46181]",0.4345124129505538
5,50,30,16,relu,rmsprop,huber_loss,"[81.75598, 81.75346, 81.751144, 81.74567, 81.74567, 81.74566, 81.74566, 81.74566]",0.45271808832946353
5,50,30,16,tanh,adam,mse,"[117.507645, 117.01201, 117.11391, 117.64407, 117.62489, 117.63861, 117.662865, 117.6623]",0.21874809885749033
5,50,30,16,tanh,adam,huber_loss,"[123.45641, 123.06075, 123.221634, 123.89152, 123.88053, 123.895805, 123.92133, 123.9212]",0.19087093838183722
5,50,30,16,tanh,rmsprop,mse,"[113.668655, 113.64238, 113.64543, 113.66418, 113.66413, 113.664154, 113.66419, 113.66419]",0.23907226712059454
5,50,30,16,tanh,rmsprop,huber_loss,"[112.8242, 112.80613, 112.80778, 112.8192, 112.81917, 112.81918, 112.81921, 112.81921]",0.2447177025089456
5,50,30,32,relu,adam,mse,"[72.293686, 72.27295, 72.25129, 72.206245, 72.20621, 72.20615, 72.206085, 72.206085]",0.5164717733049017
5,50,30,32,relu,adam,huber_loss,"[76.58354, 76.4735, 76.37052, 76.152145, 76.15088, 76.14948, 76.14787, 76.147865]",0.48958086099106046
5,50,30,32,relu,rmsprop,mse,"[76.590294, 76.58853, 76.58662, 76.58233, 76.58233, 76.58233, 76.58233, 76.58233]",0.4872885409286322
5,50,30,32,relu,rmsprop,huber_loss,"[90.50976, 90.50428, 90.50076, 90.4945, 90.4945, 90.4945, 90.49449, 90.49449]",0.39414213476373444
5,50,30,32,tanh,adam,mse,"[119.804474, 119.21388, 119.379555, 120.14837, 120.12211, 120.14691, 120.1895, 120.18872]",0.20791592494923278
5,50,30,32,tanh,adam,huber_loss,"[122.14098, 121.5672, 121.78061, 122.67182, 122.64834, 122.678116, 122.727135, 122.726654]",0.19679980046799095
5,50,30,32,tanh,rmsprop,mse,"[113.72201, 113.66778, 113.674286, 113.713196, 113.71296, 113.71308, 113.71327, 113.71327]",0.23877246820203585
5,50,30,32,tanh,rmsprop,huber_loss,"[113.104866, 113.10669, 113.10644, 113.10525, 113.10525, 113.10525, 113.10525, 113.10525]",0.2427866193978369
5,50,50,16,relu,adam,mse,"[125.79704, 125.266426, 125.575714, 126.655304, 126.63845, 126.67917, 126.738846, 126.739136]",0.17927361891912275
5,50,50,16,relu,adam,huber_loss,"[117.19073, 116.898544, 116.9606, 117.26724, 117.260635, 117.26557, 117.27393, 117.27382]",0.22006449326008787
5,50,50,16,relu,rmsprop,mse,"[112.89214, 112.88162, 112.8824, 112.88895, 112.88893, 112.88893, 112.88895, 112.88895]",0.2442443061304616
5,50,50,16,relu,rmsprop,huber_loss,"[106.12031, 106.1116, 106.11013, 106.11031, 106.110306, 106.110306, 106.110306, 106.110306]",0.2896114228574213
5,50,50,16,tanh,adam,mse,"[116.579124, 116.18842, 116.26004, 116.64367, 116.631676, 116.639534, 116.65332, 116.65303]",0.22300016818132115
